2022-05-03 13:36:41.654 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@24f47897
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@5c97ec8c
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@5c97ec8c
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@3f15a41
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@3f15a41
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@1e41bbfb
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@19f65864
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@7ae6245a
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@7ae6245a
2022-05-03 13:36:41.655 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@73cc4a15
2022-05-03 13:36:41.656 DEBUG [http-nio-8181-exec-11] [org.hibernate.type.BasicTypeRegistry.applyRegistrationKeys(BasicTypeRegistry.java:396)] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@73cc4a15
